dns scanner
('222.192.186.110', NXDOMAIN())
('47.89.68.242', NXDOMAIN())
('58.205.221.250', NXDOMAIN())
('47.89.68.241', NXDOMAIN())
('66.102.255.50', NoNameservers())
('img.alicdn.com.danuoyi.alicdn.com.', SyntaxError())
('222.192.186.40', NXDOMAIN())
('222.192.186.50', NXDOMAIN())
('img.alicdn.com.edgekey.net.', SyntaxError())
('e11102.b.akamaiedge.net.', SyntaxError())
('66.231.239.120', NXDOMAIN())
('222.192.186.120', NXDOMAIN())
('58.205.221.240', NXDOMAIN())
('104.73.234.67', 'a104-73-234-67.deploy.static.akamaitechnologies.com.')
('66.231.239.110', NXDOMAIN())
('66.102.255.40', NoNameservers())
