dns scanner
('37.235.107.22', 'dallas-20.cdn77.com.')
('37.235.108.17', 'lax-1.cdn77.com.')
('185.93.1.26', 'chicago-20.cdn77.com.')
('43.245.63.19', 'hong-kong-19.cdn77.com.')
('37.235.108.18', 'lax-1.cdn77.com.')
('104.251.190.34', 'sydney-34.cdn77.com.')
('185.59.220.17', 'frankfurt-15.cdn77.com.')
('91.239.235.21', 'kiev-20.cdn77.com.')
('185.93.0.16', 'atlanta-15.cdn77.com.')
('185.59.222.21', 'amsterdam-20.cdn77.com.')
('185.59.222.13', 'amsterdam-10.cdn77.com.')
('189.1.36.19', 'sao-paulo-18.cdn77.com.')
('1760282686.rsc.cdn77.org.', SyntaxError())
('43.245.63.28', 'hong-kong-27.cdn77.com.')
('37.235.106.43', 'stockholm-40.cdn77.com.')
('113.29.230.57', 'seoul-55.cdn77.com.')
