dns scanner
('174.35.24.84', 'i0-h0-s1016.p7-lax.cdngp.net.')
('177.84.163.111', NXDOMAIN())
('101.79.148.200', NXDOMAIN())
('103.4.201.79', NXDOMAIN())
('151.249.91.215', NXDOMAIN())
('14.0.71.141', NXDOMAIN())
('174.35.25.9', 'i0-h0-s1049.p7-lax.cdngp.net.')
('151.249.92.71', NXDOMAIN())
('151.249.92.70', NXDOMAIN())
('66.114.52.17', 'i0-h0-s1021.p1-iad.cdngp.net.')
('190.94.183.73', NXDOMAIN())
('174.35.25.7', 'i0-h0-s1047.p7-lax.cdngp.net.')
('93.188.134.235', NXDOMAIN())
('174.35.21.144', 'i0-h0-s1011.p4-dfw.cdngp.net.')
('190.94.183.74', NXDOMAIN())
('174.35.93.25', 'i0-h0-s1006.p1-gru.cdngp.net.')
('14.0.52.89', NXDOMAIN())
('174.35.36.93', 'i0-h0-s1060.p0-mia.cdngp.net.')
('175.41.12.68', NXDOMAIN())
('174.35.25.69', 'i0-h0-s1058.p7-lax.cdngp.net.')
('175.41.12.99', NXDOMAIN())
('174.35.6.7', 'i0-h0-s1002.p12-sjc.cdngp.net.')
('151.249.89.25', NXDOMAIN())
('174.35.6.8', 'i0-h0-s1003.p12-sjc.cdngp.net.')
('101.79.148.135', NXDOMAIN())
('14.0.52.24', NXDOMAIN())
('14.0.67.47', 'i0-h0-s29.p59-icn.cdngp.net.')
('177.84.163.109', NXDOMAIN())
('174.35.24.72', 'i0-h0-s1004.p7-lax.cdngp.net.')
('151.249.89.221', NXDOMAIN())
('37.29.0.112', NXDOMAIN())
('174.35.36.75', 'i0-h0-s1042.p0-mia.cdngp.net.')
('101.79.148.197', NXDOMAIN())
('151.249.91.223', NXDOMAIN())
('101.79.148.194', NXDOMAIN())
('103.4.200.235', NXDOMAIN())
('14.0.52.6', NXDOMAIN())
('14.0.52.3', NXDOMAIN())
('174.35.93.19', 'i0-h0-s1003.p1-gru.cdngp.net.')
('93.188.134.172', NXDOMAIN())
('174.35.24.199', 'i0-h0-s1033.p7-lax.cdngp.net.')
('174.35.24.198', 'i0-h0-s1032.p7-lax.cdngp.net.')
('174.35.24.202', 'i0-h0-s1036.p7-lax.cdngp.net.')
('174.35.24.201', 'i0-h0-s1035.p7-lax.cdngp.net.')
('174.35.21.94', 'i0-h0-s1115.p4-dfw.cdngp.net.')
('66.114.52.7', 'i0-h0-s1011.p1-iad.cdngp.net.')
('174.35.93.29', 'i0-h0-s1009.p1-gru.cdngp.net.')
('174.35.25.76', 'i0-h0-s1065.p7-lax.cdngp.net.')
('37.29.0.3', NXDOMAIN())
