dns scanner
('210.7.45.49', NXDOMAIN())
('190.221.162.39', 'host39.190-221-162.telmex.net.ar.')
('190.221.162.20', 'host20.190-221-162.telmex.net.ar.')
('216.58.219.100', 'mia07s25-in-f4.1e100.net.')
('210.7.45.42', NXDOMAIN())
('190.221.162.30', 'host30.190-221-162.telmex.net.ar.')
('210.7.45.44', NXDOMAIN())
('210.7.45.27', NXDOMAIN())
('190.221.162.35', 'host35.190-221-162.telmex.net.ar.')
('172.217.28.100', 'gru06s09-in-f4.1e100.net.')
('190.221.162.59', 'host59.190-221-162.telmex.net.ar.')
('190.221.162.55', 'host55.190-221-162.telmex.net.ar.')
('190.221.162.54', 'host54.190-221-162.telmex.net.ar.')
('190.221.162.24', 'host24.190-221-162.telmex.net.ar.')
('173.194.32.178', NXDOMAIN())
('173.194.32.179', NXDOMAIN())
('190.221.162.45', 'host45.190-221-162.telmex.net.ar.')
('216.58.209.68', 'waw02s06-in-f68.1e100.net.')
('210.7.45.38', NXDOMAIN())
('210.7.45.57', NXDOMAIN())
('192.122.185.113', 'cache.google.com.')
('190.221.162.50', 'host50.190-221-162.telmex.net.ar.')
('216.58.221.228', 'hkg07s21-in-f4.1e100.net.')
('192.122.185.117', 'cache.google.com.')
('173.194.32.176', NXDOMAIN())
('173.194.32.177', NXDOMAIN())
('210.7.45.53', NXDOMAIN())
('192.122.185.91', 'cache.google.com.')
('192.122.185.93', 'cache.google.com.')
('192.122.185.94', 'cache.google.com.')
('190.221.162.25', 'host25.190-221-162.telmex.net.ar.')
('192.122.185.98', 'cache.google.com.')
('210.7.45.30', NXDOMAIN())
('210.7.45.34', NXDOMAIN())
('210.7.45.15', NXDOMAIN())
('190.221.162.29', 'host29.190-221-162.telmex.net.ar.')
('172.217.28.4', 'eze03s15-in-f4.1e100.net.')
('173.194.32.180', NXDOMAIN())
('192.122.185.79', 'cache.google.com.')
('216.58.212.100', 'mil01s25-in-f4.1e100.net.')
('216.58.199.68', 'syd15s01-in-f4.1e100.net.')
('210.7.45.45', NXDOMAIN())
('216.58.199.100', 'hkg07s22-in-f4.1e100.net.')
('216.58.219.36', 'lax17s04-in-f4.1e100.net.')
('216.58.208.36', 'lhr08s07-in-f36.1e100.net.')
('210.7.45.19', NXDOMAIN())
('216.58.209.132', 'arn09s05-in-f4.1e100.net.')
('190.221.162.44', 'host44.190-221-162.telmex.net.ar.')
('190.221.162.34', 'host34.190-221-162.telmex.net.ar.')
('190.221.162.40', 'host40.190-221-162.telmex.net.ar.')
('216.58.221.132', 'hkg07s02-in-f4.1e100.net.')
('190.221.162.49', 'host49.190-221-162.telmex.net.ar.')
('192.122.185.109', 'cache.google.com.')
('192.122.185.108', 'cache.google.com.')
('172.217.28.68', 'gru09s10-in-f4.1e100.net.')
('192.122.185.87', 'cache.google.com.')
('216.58.203.36', 'hkg12s10-in-f4.1e100.net.')
('192.122.185.106', 'cache.google.com.')
('192.122.185.83', 'cache.google.com.')
('216.58.197.100', 'hkg12s01-in-f4.1e100.net.')
('192.122.185.102', 'cache.google.com.')
('192.122.185.123', 'cache.google.com.')
('192.122.185.121', 'cache.google.com.')
('216.58.216.132', 'sea15s01-in-f132.1e100.net.')
('210.7.45.29', NXDOMAIN())
('172.217.1.164', 'dfw06s41-in-f4.1e100.net.')
('210.7.45.59', NXDOMAIN())
('210.7.45.23', NXDOMAIN())
